"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.08 to 4.84","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
