"DSXBG2.Code.or.Value","DSXBG2.Value.Description","DSXBG2.Count","DSXBG2.Cumulative","DSXBG2.Skip.to.Item"
"6.93 to 119.78","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
