"OSQ040ba.Code.or.Value","OSQ040ba.Value.Description","OSQ040ba.Count","OSQ040ba.Cumulative","OSQ040ba.Skip.to.Item"
"1","Under 50 years old, or",209,209,"OSQ025"
"2","50 years old or older?",104,313,""
"7","Refused",0,313,"OSQ025"
"9","Don't know",0,313,"OSQ025"
".","Missing",2756,3069,""
