"DEQ6BPFO.Code.or.Value","DEQ6BPFO.Value.Description","DEQ6BPFO.Count","DEQ6BPFO.Cumulative","DEQ6BPFO.Skip.to.Item"
"1","Present",2,2,NA
".","Missing",2990,2992,NA
