"HSQ490.Code.or.Value","HSQ490.Value.Description","HSQ490.Count","HSQ490.Cumulative","HSQ490.Skip.to.Item"
"0 to 30","Range of Values",5884,5884,NA
"77","Refused",0,5884,NA
"99","Don't know",7,5891,NA
".","Missing",3065,8956,NA
