"WTSPH06.Code.or.Value","WTSPH06.Value.Description","WTSPH06.Count","WTSPH06.Cumulative","WTSPH06.Skip.to.Item"
"0 to 803223.95634","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
