"LBX156LA.Code.or.Value","LBX156LA.Value.Description","LBX156LA.Count","LBX156LA.Cumulative","LBX156LA.Skip.to.Item"
"0.04 to 367","Range of Values",1880,1880,NA
".","Missing",405,2285,NA
