"DXXSATM.Code.or.Value","DXXSATM.Value.Description","DXXSATM.Count","DXXSATM.Cumulative","DXXSATM.Skip.to.Item"
"98.82 to 5494.25","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
