"ALQ140Q.Code.or.Value","ALQ140Q.Value.Description","ALQ140Q.Count","ALQ140Q.Cumulative","ALQ140Q.Skip.to.Item"
"0 to 304","Range of Values",3659,3659,NA
"777","Refused",0,3659,NA
"999","Don't know",7,3666,NA
".","Missing",2393,6059,NA
