"MSXARML.Code.or.Value","MSXARML.Value.Description","MSXARML.Count","MSXARML.Cumulative","MSXARML.Skip.to.Item"
"21 to 43","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
