"LBXALDLA.Code.or.Value","LBXALDLA.Value.Description","LBXALDLA.Count","LBXALDLA.Cumulative","LBXALDLA.Skip.to.Item"
"0.3536 to 58.1","Range of Values",1946,1946,NA
".","Missing",391,2337,NA
