"LBXBR1.Code.or.Value","LBXBR1.Value.Description","LBXBR1.Count","LBXBR1.Cumulative","LBXBR1.Skip.to.Item"
"1.2 to 87.4","Range of Values",1992,1992,NA
".","Missing",345,2337,NA
