"DX2TSA.Code.or.Value","DX2TSA.Value.Description","DX2TSA.Count","DX2TSA.Cumulative","DX2TSA.Skip.to.Item"
"93.33 to 214.72","Range of Values",443,443,NA
".","Missing",42,485,NA
