"LBX4AL.Code.or.Value","LBX4AL.Value.Description","LBX4AL.Count","LBX4AL.Cumulative","LBX4AL.Skip.to.Item"
"0.221 to 16.9","Range of Values",1952,1952,NA
".","Missing",653,2605,NA
