"RFXC048.Code.or.Value","RFXC048.Value.Description","RFXC048.Count","RFXC048.Cumulative","RFXC048.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
