"WBXF107.Code.or.Value","WBXF107.Value.Description","WBXF107.Count","WBXF107.Cumulative","WBXF107.Skip.to.Item"
"8000 to 8000","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
