"LBDPFBSL.Code.or.Value","LBDPFBSL.Value.Description","LBDPFBSL.Count","LBDPFBSL.Cumulative","LBDPFBSL.Skip.to.Item"
"0","At or above the detection limit",15,15,NA
"1","Below lower detection limit",2153,2168,NA
".","Missing",171,2339,NA
