"PHAANTMN.Code.or.Value","PHAANTMN.Value.Description","PHAANTMN.Count","PHAANTMN.Cumulative","PHAANTMN.Skip.to.Item"
"0 to 57","Range of Values",65,65,NA
".","Missing",8301,8366,NA
