"WBXF018.Code.or.Value","WBXF018.Value.Description","WBXF018.Count","WBXF018.Cumulative","WBXF018.Skip.to.Item"
"594.6036 to 594.6036","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
