"ORXGL.Code.or.Value","ORXGL.Value.Description","ORXGL.Count","ORXGL.Cumulative","ORXGL.Skip.to.Item"
"1","Positive",4546,4546,NA
"2","Negative",1,4547,NA
"3","Not evaluated",296,4843,NA
".","Missing",0,4843,NA
