"AUXLR265.Code.or.Value","AUXLR265.Value.Description","AUXLR265.Count","AUXLR265.Cumulative","AUXLR265.Skip.to.Item"
"-30 to 76","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
