"SPFNA.Code.or.Value","SPFNA.Value.Description","SPFNA.Count","SPFNA.Cumulative","SPFNA.Skip.to.Item"
"0.1 to 13.7","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
