"FIAPROXY.Code.or.Value","FIAPROXY.Value.Description","FIAPROXY.Count","FIAPROXY.Cumulative","FIAPROXY.Skip.to.Item"
"1","Yes",17,17,NA
"2","No",8763,8780,NA
".","Missing",474,9254,NA
