"DXXAL4AN.Code.or.Value","DXXAL4AN.Value.Description","DXXAL4AN.Count","DXXAL4AN.Cumulative","DXXAL4AN.Skip.to.Item"
"0 to 3","Range of Values",3143,3143,NA
".","Missing",565,3708,NA
