"CIQP24.Code.or.Value","CIQP24.Value.Description","CIQP24.Count","CIQP24.Cumulative","CIQP24.Skip.to.Item"
"5 to 39","Range of Values",43,43,NA
"77","Refused",0,43,NA
"99","Don't know",0,43,NA
".","Missing",807,850,NA
