"LBXMIRLA.Code.or.Value","LBXMIRLA.Value.Description","LBXMIRLA.Count","LBXMIRLA.Cumulative","LBXMIRLA.Skip.to.Item"
"0.495 to 166","Range of Values",1951,1951,NA
".","Missing",386,2337,NA
