"PFD069M.Code.or.Value","PFD069M.Value.Description","PFD069M.Count","PFD069M.Cumulative","PFD069M.Skip.to.Item"
"14 to 21915","Range of Values",62,62,NA
"66666","Since birth",0,62,NA
"77777","Refused",0,62,NA
"99999","Don't know",0,62,NA
".","Missing",9604,9666,NA
