"LBXV06.Code.or.Value","LBXV06.Value.Description","LBXV06.Count","LBXV06.Cumulative","LBXV06.Skip.to.Item"
"0.086 to 3.08","Range of Values",2696,2696,NA
".","Missing",476,3172,NA
