"DXXPT1X.Code.or.Value","DXXPT1X.Value.Description","DXXPT1X.Count","DXXPT1X.Cumulative","DXXPT1X.Skip.to.Item"
"723.2 to 1261.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
