"PFQ061A.Code.or.Value","PFQ061A.Value.Description","PFQ061A.Count","PFQ061A.Cumulative","PFQ061A.Skip.to.Item"
"1","No difficulty",2327,2327,NA
"2","Some difficulty",337,2664,NA
"3","Much difficulty",82,2746,NA
"4","Unable to do",40,2786,NA
"5","Do not do this activity",138,2924,NA
"7","Refused",2,2926,NA
"9","Don't know",1,2927,NA
".","Missing",5494,8421,NA
