"SMQ665C.Code.or.Value","SMQ665C.Value.Description","SMQ665C.Count","SMQ665C.Cumulative","SMQ665C.Skip.to.Item"
"1","NEWPORT",2,2,"SMQ670"
"2","NEWPORT MENTHOL GOLD",1,3,"SMQ670"
"3","OTHER NEWPORT",1,4,"SMQ670"
"77","Refused",0,4,"SMQ670"
"99","Don't know",0,4,"SMQ670"
".","Missing",6720,6724,""
