"WTSAU03.Code.or.Value","WTSAU03.Value.Description","WTSAU03.Count","WTSAU03.Cumulative","WTSAU03.Skip.to.Item"
"0 to 478018.28505","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
