"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 93.12","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
