"LBDD02LC.Code.or.Value","LBDD02LC.Value.Description","LBDD02LC.Count","LBDD02LC.Cumulative","LBDD02LC.Skip.to.Item"
"0","At or above the detection limit",294,294,NA
"1","Below lower detection limit",3,297,NA
".","Missing",4,301,NA
