"AUQ141.Code.or.Value","AUQ141.Value.Description","AUQ141.Count","AUQ141.Cumulative","AUQ141.Skip.to.Item"
"1","Less than a year ago",662,662,NA
"2","1 year to 4 years ago",796,1458,NA
"3","5 to 9 years ago",291,1749,NA
"4","Ten or more years ago",244,1993,NA
"5","Never",373,2366,NA
"7","Refused",0,2366,NA
"9","Don't know",82,2448,NA
".","Missing",7661,10109,NA
