"DEX1HDFH.Code.or.Value","DEX1HDFH.Value.Description","DEX1HDFH.Count","DEX1HDFH.Cumulative","DEX1HDFH.Skip.to.Item"
"1","Present",15,15,NA
".","Missing",2977,2992,NA
