"WTSPP16.Code.or.Value","WTSPP16.Value.Description","WTSPP16.Count","WTSPP16.Cumulative","WTSPP16.Skip.to.Item"
"0 to 872312.5877","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
