"OSQ170.Code.or.Value","OSQ170.Value.Description","OSQ170.Count","OSQ170.Cumulative","OSQ170.Skip.to.Item"
"1","Yes",253,253,""
"2","No",2728,2981,"OSQ200"
"7","Refused",0,2981,"OSQ200"
"9","Don't know",87,3068,"OSQ200"
".","Missing",1,3069,""
