"LEARAMP.Code.or.Value","LEARAMP.Value.Description","LEARAMP.Count","LEARAMP.Cumulative","LEARAMP.Skip.to.Item"
"1","None",2744,2744,NA
"2","Entire foot",6,2750,NA
"3","Partial foot",0,2750,NA
"4","Great toe",0,2750,NA
"5","Other toe(s)",0,2750,NA
"6","Great toe and other toe(s)",1,2751,NA
"8","Could not obtain",2,2753,NA
".","Missing",333,3086,NA
