"SSPFHAL.Code.or.Value","SSPFHAL.Value.Description","SSPFHAL.Count","SSPFHAL.Cumulative","SSPFHAL.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",1664,1672,NA
".","Missing",0,1672,NA
