"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",6941,6941,NA
"2","Spanish",661,7602,NA
"3","English and Spanish",43,7645,NA
"4","Other",39,7684,NA
"5","Asian Languages",30,7714,NA
"6","Asian Languages and English",22,7736,NA
".","Missing",968,8704,NA
