"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"0 to 16669.51","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
