"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 100","Range of Values",2770,2770,NA
"666","No response",2,2772,NA
"888","Could not obtain",108,2880,NA
".","Missing",251,3131,NA
