"WTSCI33.Code.or.Value","WTSCI33.Value.Description","WTSCI33.Count","WTSCI33.Cumulative","WTSCI33.Skip.to.Item"
"0 to 469292.08053","Range of Values",727,727,NA
".","Missing",51,778,NA
