"OPDDHD.Code.or.Value","OPDDHD.Value.Description","OPDDHD.Count","OPDDHD.Cumulative","OPDDHD.Skip.to.Item"
"0","No",1338,1338,NA
"1","Yes",1753,3091,NA
".","Missing",772,3863,NA
