"WTSHM30.Code.or.Value","WTSHM30.Value.Description","WTSHM30.Count","WTSHM30.Cumulative","WTSHM30.Skip.to.Item"
"0.0000000 to 772537.6458700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
