"LB2VIESI.Code.or.Value","LB2VIESI.Value.Description","LB2VIESI.Count","LB2VIESI.Cumulative","LB2VIESI.Skip.to.Item"
"1.818 to 94.02","Range of Values",545,545,NA
".","Missing",6,551,NA
