"WBXF061.Code.or.Value","WBXF061.Value.Description","WBXF061.Count","WBXF061.Cumulative","WBXF061.Skip.to.Item"
"2118.9262 to 2118.9262","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
