"AUXLR162.Code.or.Value","AUXLR162.Value.Description","AUXLR162.Count","AUXLR162.Cumulative","AUXLR162.Skip.to.Item"
"-12 to 47","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
