"FSD052.Code.or.Value","FSD052.Value.Description","FSD052.Count","FSD052.Cumulative","FSD052.Skip.to.Item"
"1","Almost every month,",327,327,NA
"2","Some months but not every month, or",613,940,NA
"3","Only 1 or 2 months?",339,1279,NA
"7","Refused",0,1279,NA
"9","Don't know",2,1281,NA
".","Missing",7973,9254,NA
