"RHQ710E.Code.or.Value","RHQ710E.Value.Description","RHQ710E.Count","RHQ710E.Cumulative","RHQ710E.Skip.to.Item"
"5","Feminine Powder",82,82,NA
"77","Refused",0,82,NA
"99","Don't know",0,82,NA
".","Missing",3482,3564,NA
