"WBXA075.Code.or.Value","WBXA075.Value.Description","WBXA075.Count","WBXA075.Cumulative","WBXA075.Skip.to.Item"
"-0.2612 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
