"WTIREP31.Code.or.Value","WTIREP31.Value.Description","WTIREP31.Count","WTIREP31.Cumulative","WTIREP31.Skip.to.Item"
"0 to 238064.69158","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
