"SSDPHPL.Code.or.Value","SSDPHPL.Value.Description","SSDPHPL.Count","SSDPHPL.Cumulative","SSDPHPL.Skip.to.Item"
"0","At or above the detection limit",2378,2378,NA
"1","Below lower detection limit",52,2430,NA
".","Missing",0,2430,NA
