"DXXPT19X.Code.or.Value","DXXPT19X.Value.Description","DXXPT19X.Count","DXXPT19X.Cumulative","DXXPT19X.Skip.to.Item"
"700.6 to 1234.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
