"LBXCD8.Code.or.Value","LBXCD8.Value.Description","LBXCD8.Count","LBXCD8.Cumulative","LBXCD8.Skip.to.Item"
"65 to 1210","Range of Values",44,44,NA
".","Missing",3171,3215,NA
