"LEXLPTS1.Code.or.Value","LEXLPTS1.Value.Description","LEXLPTS1.Count","LEXLPTS1.Cumulative","LEXLPTS1.Skip.to.Item"
"52 to 248","Range of Values",2348,2348,NA
".","Missing",738,3086,NA
