"BAQ090.Code.or.Value","BAQ090.Value.Description","BAQ090.Count","BAQ090.Cumulative","BAQ090.Skip.to.Item"
"1","Get better,",304,304,NA
"2","Get worse, or",9,313,NA
"3","Stay the same?",101,414,NA
"7","Refused",0,414,NA
"9","Don't know",4,418,NA
".","Missing",2881,3299,NA
