"ORXH55.Code.or.Value","ORXH55.Value.Description","ORXH55.Count","ORXH55.Cumulative","ORXH55.Skip.to.Item"
"1","Positive",38,38,NA
"2","Negative",4508,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
