"URDACELC.Code.or.Value","URDACELC.Value.Description","URDACELC.Count","URDACELC.Cumulative","URDACELC.Skip.to.Item"
"0","detectable result",67,67,NA
"1","below detectable limit",2941,3008,NA
".","Missing",144,3152,NA
