"LBX101LA.Code.or.Value","LBX101LA.Value.Description","LBX101LA.Count","LBX101LA.Cumulative","LBX101LA.Skip.to.Item"
"0.09 to 79.3","Range of Values",1897,1897,NA
".","Missing",388,2285,NA
