"LBXBR2.Code.or.Value","LBXBR2.Value.Description","LBXBR2.Count","LBXBR2.Cumulative","LBXBR2.Skip.to.Item"
"1.2 to 465.8","Range of Values",1987,1987,NA
".","Missing",350,2337,NA
