"OHQ410.Code.or.Value","OHQ410.Value.Description","OHQ410.Count","OHQ410.Cumulative","OHQ410.Skip.to.Item"
"1","Yes",1145,1145,"OHQ420"
"2","No",3615,4760,"OHQ430"
"7","Refused",0,4760,"OHQ430"
"9","Don't know",0,4760,"OHQ430"
".","Missing",3551,8311,""
