"BIXC020K.Code.or.Value","BIXC020K.Value.Description","BIXC020K.Count","BIXC020K.Cumulative","BIXC020K.Skip.to.Item"
"23.59 to 460.36","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
